no,season,daytime,night,price_sum,year_price_sum,hosin,general,anjin,dongyang,tongun,tayoung,carwash_sum,year_carwash_sum
1 ,2022-01-01,"6,210,355 ","13,220,559 ","19,430,914 ",,,,,,,,144 ,
2 ,2022-01-02,"8,864,089 ","4,366,437 ","13,230,526 ",,,,,,,,192 ,
3 ,2022-01-03,"14,542,297 ","7,642,959 ","22,185,256 ",,,,,,,,222 ,
4 ,2022-01-04,"15,309,906 ","8,251,600 ","23,561,506 ",,,,,,,,190 ,
5 ,2022-01-05,"13,438,396 ","8,786,440 ","22,224,836 ",,,,,,,,165 ,
6 ,2022-01-06,"14,079,454 ","9,069,051 ","23,148,505 ",,,,,,,,201 ,
7 ,2022-01-07,"15,686,305 ","9,015,568 ","24,701,873 ",,,,,,,,267 ,
8 ,2022-01-08,"12,718,612 ","7,484,032 ","20,202,644 ",,,,,,,,161 ,
9 ,2022-01-09,"9,036,153 ","5,151,538 ","14,187,691 ",,,,,,,,170 ,
10 ,2022-01-10,"14,198,038 ","8,279,152 ","22,477,190 ",,,,,,,,191 ,
11 ,2022-01-11,"13,843,664 ","8,905,580 ","22,749,244 ",,,,,,,,0 ,
12 ,2022-01-12,"13,877,970 ","8,528,253 ","22,406,223 ",,,,,,,,0 ,
13 ,2022-01-13,"15,227,708 ","9,171,763 ","24,399,471 ",,,,,,,,0 ,
14 ,2022-01-14,"14,319,815 ","9,062,998 ","23,382,813 ",,,,,,,,0 ,
15 ,2022-01-15,"10,377,593 ","6,366,061 ","16,743,654 ",,,,,,,,0 ,
16 ,2022-01-16,"10,098,717 ","5,853,163 ","15,951,880 ",,,,,,,,0 ,
17 ,2022-01-17,"13,830,784 ","7,781,478 ","21,612,262 ",,,,,,,,0 ,
18 ,2022-01-18,"14,212,794 ","9,133,670 ","23,346,464 ",,,,,,,,0 ,
19 ,2022-01-19,"12,073,612 ","8,299,347 ","20,372,959 ",,,,,,,,0 ,
20 ,2022-01-20,"16,431,488 ","9,878,619 ","26,310,107 ",,,,,,,,323 ,
21 ,2022-01-21,"16,431,099 ","8,815,487 ","25,246,586 ",,,,,,,,309 ,
22 ,2022-01-22,"14,246,294 ","7,293,701 ","21,539,995 ",,,,,,,,278 ,
23 ,2022-01-23,"10,298,122 ","5,453,010 ","15,751,132 ",,,,,,,,213 ,
24 ,2022-01-24,"15,360,120 ","8,458,236 ","23,818,356 ",,,,,,,,323 ,
25 ,2022-01-25,"14,285,823 ","8,495,917 ","22,781,740 ",,,,,,,,300 ,
26 ,2022-01-26,"15,235,389 ","8,943,662 ","24,179,051 ",,,,,,,,266 ,
27 ,2022-01-27,"14,804,258 ","9,791,335 ","24,595,593 ",,,,,,,,235 ,
28 ,2022-01-28,"17,086,566 ","9,276,408 ","26,362,974 ",,,,,,,,255 ,
29 ,2022-01-29,"13,352,376 ","7,530,748 ","20,883,124 ",,,,,,,,190 ,
30 ,2022-01-30,"9,132,045 ","4,992,839 ","14,124,884 ",,,,,,,,128 ,
31 ,2022-01-31,"7,717,312 ","961,576 ","8,678,888 ",,,,,,,,105 ,
32 ,2022-02-01,"2,069,762 ","7,933,850 ","10,003,612 ",,,,,,,,0 ,
33 ,2022-02-02,"6,911,422 ","4,500,557 ","11,411,979 ",,,,,,,,0 ,
34 ,2022-02-03,"13,505,127 ","7,276,900 ","20,782,027 ",,,,,,,,166 ,
35 ,2022-02-04,"14,992,115 ","8,377,018 ","23,369,133 ",,,,,,,,119 ,
36 ,2022-02-05,"10,991,122 ","6,513,851 ","17,504,973 ",,,,,,,,93 ,
37 ,2022-02-06,"8,705,520 ","4,782,237 ","13,487,757 ",,,,,,,,157 ,
38 ,2022-02-07,"13,409,604 ","8,086,903 ","21,496,507 ",,,,,,,,179 ,
39 ,2022-02-08,"13,147,783 ","7,556,426 ","20,704,209 ",,,,,,,,179 ,
40 ,2022-02-09,"13,557,404 ","8,824,806 ","22,382,210 ",,,,,,,,207 ,
41 ,2022-02-10,"12,882,775 ","9,058,674 ","21,941,449 ",,,,,,,,213 ,
42 ,2022-02-11,"13,759,117 ","8,759,260 ","22,518,377 ",,,,,,,,201 ,
43 ,2022-02-12,"12,610,878 ","7,325,057 ","19,935,935 ",,,,,,,,216 ,
44 ,2022-02-13,"7,924,962 ","4,993,693 ","12,918,655 ",,,,,,,,105 ,
45 ,2022-02-14,"12,395,745 ","7,662,421 ","20,058,166 ",,,,,,,,75 ,
46 ,2022-02-15,"13,987,345 ","8,600,621 ","22,587,966 ",,,,,,,,209 ,
47 ,2022-02-16,"14,006,536 ","8,773,788 ","22,780,324 ",,,,,,,,75 ,
48 ,2022-02-17,"14,501,059 ","8,167,351 ","22,668,410 ",,,,,,,,126 ,
49 ,2022-02-18,"14,944,805 ","8,313,712 ","23,258,517 ",,,,,,,,219 ,
50 ,2022-02-19,"12,327,252 ","7,410,797 ","19,738,049 ",,,,,,,,166 ,
51 ,2022-02-20,"9,116,822 ","5,595,970 ","14,712,792 ",,,,,,,,148 ,
52 ,2022-02-21,"14,472,754 ","7,866,918 ","22,339,672 ",,,,,,,,239 ,
53 ,2022-02-22,"14,225,918 ","8,658,114 ","22,884,032 ",,,,,,,,142 ,
54 ,2022-02-23,"13,317,646 ","8,806,443 ","22,124,089 ",,,,,,,,135 ,
55 ,2022-02-24,"14,076,411 ","8,700,308 ","22,776,719 ",,,,,,,,189 ,
56 ,2022-02-25,"15,534,456 ","7,849,900 ","23,384,356 ",,,,,,,,206 ,
57 ,2022-02-26,"11,070,216 ","6,568,132 ","17,638,348 ",,,,,,,,89 ,
58 ,2022-02-27,"10,648,763 ","5,746,583 ","16,395,346 ",,,,,,,,277 ,
59 ,2022-02-28,"13,938,421 ","1,869,833 ","15,808,254 ",,,,,,,,273 ,
60 ,2022-03-01,"6,154,336 ","11,832,624 ","17,986,960 ",,,,,,,,174 ,
61 ,2022-03-02,"14,240,044 ","9,216,646 ","23,456,690 ",,,,,,,,270 ,
62 ,2022-03-03,"13,856,549 ","7,922,026 ","21,778,575 ",,,,,,,,203 ,
63 ,2022-03-04,"12,861,693 ","8,431,746 ","21,293,439 ",,,,,,,,136 ,
64 ,2022-03-05,"12,282,275 ","7,860,059 ","20,142,334 ",,,,,,,,215 ,
65 ,2022-03-06,"8,722,654 ","5,796,956 ","14,519,610 ",,,,,,,,147 ,
66 ,2022-03-07,"13,425,180 ","8,932,086 ","22,357,266 ",,,,,,,,195 ,
67 ,2022-03-08,"12,814,096 ","8,881,417 ","21,695,513 ",,,,,,,,178 ,
68 ,2022-03-09,"8,553,410 ","4,739,853 ","13,293,263 ",,,,,,,,129 ,
69 ,2022-03-10,"11,345,831 ","8,537,987 ","19,883,818 ",,,,,,,,160 ,
70 ,2022-03-11,"13,093,222 ","9,003,743 ","22,096,965 ",,,,,,,,177 ,
71 ,2022-03-12,"10,225,453 ","7,468,871 ","17,694,324 ",,,,,,,,126 ,
72 ,2022-03-13,"6,395,275 ","5,137,878 ","11,533,153 ",,,,,,,,54 ,
73 ,2022-03-14,"13,001,158 ","7,974,287 ","20,975,445 ",,,,,,,,65 ,
74 ,2022-03-15,"14,193,375 ","8,540,768 ","22,734,143 ",,,,,,,,304 ,
75 ,2022-03-16,"12,357,636 ","8,610,432 ","20,968,068 ",,,,,,,,151 ,
76 ,2022-03-17,"12,376,455 ","8,944,329 ","21,320,784 ",,,,,,,,108 ,
77 ,2022-03-18,"12,893,920 ","8,170,622 ","21,064,542 ",,,,,,,,227 ,
78 ,2022-03-19,"10,867,827 ","7,349,164 ","18,216,991 ",,,,,,,,108 ,
79 ,2022-03-20,"9,654,013 ","5,546,636 ","15,200,649 ",,,,,,,,192 ,
80 ,2022-03-21,"13,084,605 ","8,520,163 ","21,604,768 ",,,,,,,,217 ,
81 ,2022-03-22,"12,052,959 ","8,295,747 ","20,348,706 ",,,,,,,,177 ,
82 ,2022-03-23,"12,900,848 ","9,180,501 ","22,081,349 ",,,,,,,,134 ,
83 ,2022-03-24,"13,240,902 ","8,619,693 ","21,860,595 ",,,,,,,,120 ,
84 ,2022-03-25,"12,631,694 ","8,748,081 ","21,379,775 ",,,,,,,,105 ,
85 ,2022-03-26,"11,063,500 ","8,244,717 ","19,308,217 ",,,,,,,,146 ,
86 ,2022-03-27,"9,498,961 ","6,837,424 ","16,336,385 ",,,,,,,,163 ,
87 ,2022-03-28,"12,275,999 ","8,278,640 ","20,554,639 ",,,,,,,,198 ,
88 ,2022-03-29,"12,252,426 ","9,932,457 ","22,184,883 ",,,,,,,,150 ,
89 ,2022-03-30,"11,323,467 ","8,545,755 ","19,869,222 ",,,,,,,,90 ,
90 ,2022-03-31,"13,016,833 ","948,634 ","13,965,467 ",,,,,,,,267 ,
91 ,2022-04-01,"7,296,984 ","25,239,926 ","32,536,910 ",,,,,,,,225 ,
92 ,2022-04-02,"13,613,279 ","8,883,523 ","22,496,802 ",,,,,,,,185 ,
93 ,2022-04-03,"9,621,367 ","6,894,030 ","16,515,397 ",,,,,,,,124 ,
94 ,2022-04-04,"15,020,510 ","9,787,410 ","24,807,920 ",,,,,,,,148 ,
95 ,2022-04-05,"15,308,465 ","9,529,826 ","24,838,291 ",,,,,,,,200 ,
96 ,2022-04-06,"13,827,683 ","9,714,527 ","23,542,210 ",,,,,,,,158 ,
97 ,2022-04-07,"15,086,795 ","11,057,671 ","26,144,466 ",,,,,,,,184 ,
98 ,2022-04-08,"15,002,316 ","11,054,450 ","26,056,766 ",,,,,,,,187 ,
99 ,2022-04-09,"12,832,315 ","8,741,071 ","21,573,386 ",,,,,,,,309 ,
100 ,2022-04-10,0 ,"6,836,772 ","6,836,772 ",,,,,,,,200 ,
101 ,2022-04-11,"15,323,063 ","9,267,192 ","24,590,255 ",,,,,,,,199 ,
102 ,2022-04-12,"12,809,869 ","9,033,571 ","21,843,440 ",,,,,,,,123 ,
103 ,2022-04-13,"13,598,329 ","9,982,300 ","23,580,629 ",,,,,,,,200 ,
104 ,2022-04-14,"14,611,883 ","10,738,316 ","25,350,199 ",,,,,,,,213 ,
105 ,2022-04-15,"15,551,546 ","10,270,885 ","25,822,431 ",,,,,,,,139 ,
106 ,2022-04-16,"14,530,295 ","8,863,054 ","23,393,349 ",,,,,,,,212 ,
107 ,2022-04-17,"10,414,346 ","6,302,797 ","16,717,143 ",,,,,,,,177 ,
