ㅁ,	*ARC
ㅁㅊ,	*BACTION
ㅁㅇㅊ,	*ADCENTER
ㅁㄷㅊㅅㅐㅁㅊㅁㅇ,	*-ExportToAutoCAD
ㅁㅁ,	*AREA
ㅁㅣ,	*ALIGN
3ㅁㅣ,	*3DALIGN
ㅁㅔ,	*APPLOAD
ㅁㅔㅣㅁㅛ,	*ALLPLAY
ㅁㄱ,	*ARRAY
-ㅁㄱ,	*-ARRAY
ㅁㄱㄱ,	*ACTRECORD
ㅁㄱㅡ,	*ACTUSERMESSAGE
-ㅁㄱㅡ,	*-ACTUSERMESSAGE
ㅁㄱㅕ,	*ACTUSERINPUT
ㅁㄱㄴ,	*ACTSTOP
-ㅁㄱㄴ,	*-ACTSTOP
ㅁㅅㅑ,	*ATTIPEDIT
ㅁㅅㅅ,	*ATTDEF
-ㅁㅅㅅ,	*-ATTDEF
ㅁㅅㄷ,	*ATTEDIT
-ㅁㅅㄷ,	*-ATTEDIT
ㅁㅅㅅㄷ,	*-ATTEDIT
ㅠ,	*BLOCK
-ㅠ,	*-BLOCK
ㅠㅊ,	*BCLOSE
ㅠㄷ,	*BEDIT
ㅠㅗ,	*HATCH
ㅠㅣㄷㅜㅇㄴㄱㄹ,	*SURFBLEND
ㅠㅐ,	*BOUNDARY
-ㅠㅐ,	*-BOUNDARY
ㅠㄱ,	*BREAK
ㅠㄴ,	*BSAVE
ㅠㅍㄴ,	*BVSTATE
ㅊ,	*CIRCLE
ㅊㅁㅡ,	*CAMERA
ㅊㅠㅁㄱ,	*CONSTRAINTBAR
ㅊㅗ,	*PROPERTIES
-ㅊㅗ,	*CHANGE
ㅊㅗㅁ,	*CHAMFER
ㅊㅗㅏ,	*CHECKSTANDARDS
ㅊㅣ,	*CENTERLINE
ㅊㅣㅑ,	*COMMANDLINE
ㅊㅡ,	*CENTERMARK
ㅊㅡㅁㅅㅅㅁㅊㅗ,	*COORDINATIONMODELATTACH
-ㅊㅡㅁㅅㅅㅁㅊㅗ,	*-COORDINATIONMODELATTACH
ㅊㅐㅣ,	*COLOR
ㅊㅐㅣㅐㅕㄱ,	*COLOR
ㅊㅐ,	*COPY
ㅊㅐㅜㅍㅅㅐㅡㄷㄴㅗ,	*MESHSMOOTH
ㅊㅔ,	*COPY
ㅊㅔㅁㄱㅁㅡ,	*BCPARAMETER
ㅊㄱㄷㅁㄴㄷ,	*MESHCREASE
ㅊㄱㄷㅁㅅㄷㄴㅐㅣㅑㅇ,	*SURFSCULPT
ㅊㄴㄷㅅㅅㅑㅜㅎㄴ,	*CONSTRAINTSETTINGS
ㅊㅅ,	*CTABLESTYLE
ㅊㅕㅠㄷ,	*NAVVCUBE
ㅊㅕㄱㅍㅁㅅㅕㄱㄷㅁㅜㅁㅣㅛㄴㅑㄴ,	*ANALYSISCURVATURE
ㅊㅛㅣ,	*CYLINDER
ㅇ,	*DIMSTYLE
ㅇㅁㅣ,	*DIMALIGNED
ㅇㅁㅜ,	*DIMANGULAR
ㅇㅁㄱ,	*DIMARC
ㅇㄷㅣㄷㅅㄷ,	*ERASE
ㅓㅐㅎ,	*DIMJOGGED
ㅇㅠㅁ,	*DIMBASELINE
ㅇㅠㅊ,	*DBCONNECT
ㅇㅊ,	*ADCENTER
ㅇㅊㄷ,	*DIMCENTER
ㅇㅊㄷㅜㅅㄷㄱ,	*ADCENTER
ㅇㅊㅐ,	*DIMCONTINUE
ㅇㅊㅐㅜ,	*DIMCONSTRAINT
ㅇㅇㅁ,	*DIMDISASSOCIATE
ㅇㅇㄷㅇㅑㅅ,	*TEXTEDIT
ㅇㅇㅑ,	*DIMDIAMETER
ㅇㅇㅔㅅㅛㅔㄷ,	*PTYPE
ㅇㅇㅍㅔㅐㅑㅜㅅ,	*VPOINT
ㅇㄷㅇ,	*DIMEDIT
ㅇㄷㅣㅊㅐㅜ,	*DELCONSTRAINT
ㅇㅑ,	*DIST
ㅇㅑㅍ,	*DIVIDE
ㅇㅓㅣ,	*DIMJOGLINE
ㅇㅓㅐ,	*DIMJOGGED
ㅇㅣ,	*DATALINK
ㅇㅣㅑ,	*DIMLINEAR
ㅇㅣㅕ,	*DATALINKUPDATE
ㅇㅐ,	*DONUT
ㅇㅐㄱ,	*DIMORDINATE
ㅇㅐㅍ,	*DIMOVERRIDE
